日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价,保证金,当日盈亏,今手数,仓位占比
2014-01-30,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,4179.64份,4179.6361份,0.958,4004.09,6.07,0.957,-,0,29.26,1035.4454份,1.6%
2014-01-30,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,4468.89份,4468.8865份,0.778,3477.69,50.21,0.767,-,0,0,1046.3707份,1.39%
2014-01-30,,Cash,,,,,234591.15,,,,,,
2014-02-07,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,5145.9份,5145.8968份,0.765,3938.67,-57.04,0.776,-,0,-36.02,0份,1.58%
2014-02-07,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,5808.45份,5808.4467份,0.671,3897.47,-90.17,0.687,-,0,-40.66,0份,1.56%
2014-02-07,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,4179.64份,4179.6361份,0.951,3974.83,-23.19,0.957,-,0,-29.26,0份,1.59%
2014-02-07,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,4468.89份,4468.8865份,0.767,3429.42,1.95,0.767,-,0,-48.26,0份,1.37%
2014-02-07,,Cash,,,,,234591.15,,,,,,
2014-02-10,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,5145.9份,5145.8968份,0.768,3953.59,-42.12,0.776,-,0,14.92,0份,1.58%
2014-02-10,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,5808.45份,5808.4467份,0.671,3897.47,-90.17,0.687,-,0,0,0份,1.56%
2014-02-10,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,4179.64份,4179.6361份,0.958,4004.09,6.07,0.957,-,0,29.26,0份,1.6%
2014-02-10,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,4468.89份,4468.8865份,0.774,3457.13,29.66,0.767,-,0,27.71,0份,1.38%
2014-02-10,,Cash,,,,,234591.15,,,,,,
2014-02-11,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,5145.9份,5145.8968份,0.786,4042.62,46.91,0.776,-,0,89.02,0份,1.62%
2014-02-11,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,5808.45份,5808.4467份,0.683,3967.17,-20.47,0.687,-,0,69.7,0份,1.59%
2014-02-11,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,4179.64份,4179.6361份,0.978,4087.68,89.66,0.957,-,0,83.59,0份,1.63%
2014-02-11,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,4468.89份,4468.8865份,0.792,3538.02,110.54,0.767,-,0,80.89,0份,1.41%
2014-02-11,,Cash,,,,,234591.15,,,,,,
2014-02-12,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,5145.9份,5145.8968份,0.792,4076.06,80.35,0.776,-,0,33.45,0份,1.63%
2014-02-12,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,5808.45份,5808.4467份,0.691,4013.64,26,0.687,-,0,46.47,0份,1.6%
2014-02-12,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,4179.64份,4179.6361份,0.981,4100.22,102.2,0.957,-,0,12.54,0份,1.64%
2014-02-12,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,4468.89份,4468.8865份,0.795,3550.53,123.06,0.767,-,0,12.51,0份,1.42%
2014-02-12,,Cash,,,,,234591.15,,,,,,
2014-02-13,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,6355.43份,6355.4282份,0.793,5039.85,71.48,0.782,-,0,5.72,1209.5314份,2.01%
2014-02-13,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,7232.34份,7232.3447份,0.692,5004.78,18.25,0.689,-,0,7.23,1423.898份,2%
2014-02-13,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,5169.9份,5169.8968份,0.985,5092.35,108.08,0.964,-,0,20.68,990.2607份,2.03%
2014-02-13,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,5357.56份,5357.5578份,0.800,4284.97,151.45,0.772,-,0,28.4,888.6713份,1.71%
2014-02-13,,Cash,,,,,230927.31,,,,,,
2014-02-14,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,6355.43份,6355.4282份,0.789,5011.26,42.88,0.782,-,0,-28.6,0份,2%
2014-02-14,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,7232.34份,7232.3447份,0.693,5012.01,25.48,0.689,-,0,7.23,0份,2%
2014-02-14,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,5169.9份,5169.8968份,0.979,5061.33,77.06,0.964,-,0,-31.02,0份,2.02%
2014-02-14,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,5357.56份,5357.5578份,0.793,4246.4,112.88,0.772,-,0,-38.57,0份,1.7%
2014-02-14,,Cash,,,,,230927.31,,,,,,
2014-02-17,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,6355.43份,6355.4282份,0.792,5035.41,67.04,0.782,-,0,24.15,0份,2.01%
2014-02-17,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,7232.34份,7232.3447份,0.695,5026.48,39.94,0.689,-,0,14.46,0份,2.01%
2014-02-17,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,5169.9份,5169.8968份,0.987,5102.69,118.42,0.964,-,0,41.36,0份,2.04%
2014-02-17,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,5357.56份,5357.5578份,0.797,4270.51,136.99,0.772,-,0,24.11,0份,1.71%
2014-02-17,,Cash,,,,,230927.31,,,,,,
2014-02-18,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,6355.43份,6355.4282份,0.799,5074.81,106.44,0.782,-,0,39.4,0份,2.03%
2014-02-18,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,7232.34份,7232.3447份,0.696,5033.71,47.18,0.689,-,0,7.23,0份,2.01%
